text,language,label,group,source_kind
"Требуется кассир в магазин. Официальное трудоустройство, сменный график и фиксированный оклад.",ru,0,0-1,synthetic_from_official_risk_patterns
"Ищем курьера для доставки документов. Маршруты выдаются в приложении, наличные принимать не нужно. Пишите в личные сообщения.",ru,0,0-5,synthetic_from_official_risk_patterns
Хабарландыру: Оформление не требуется. Главное требование: активная карта и быстрые ответы менеджеру. Подробности после отклика.,ru,1,1-8,synthetic_from_official_risk_patterns
Срочно. Аудармашыға қашықтан жұмыс. Төлем келісімшарт бойынша орындалған мәтін үшін жасалады. Байланыс үшін хабарласыңыз.,kk,0,0-25,synthetic_from_official_risk_patterns
"Снимайте поступившие деньги в банкомате и отдавайте человеку, которого назовет куратор.",ru,1,1-10,synthetic_from_official_risk_patterns
"Жұмыс ұсынысы. Қойма операторы тауарды құжат бойынша қабылдап, жүйеде есеп жүргізеді. Подробности после отклика.",kk,0,0-29,synthetic_from_official_risk_patterns
"Новая вакансия. Компания не просит PIN, CVV, SMS-коды или доступ к личному банковскому приложению. Пишите в личные сообщения.",ru,0,0-7,synthetic_from_official_risk_patterns
"Жұмыс ұсынысы. Сіздің міндетіңіз: түскен ақшаны басқа адамдарға аудару, әр операциядан комиссия аласыз.",kk,1,1-25,synthetic_from_official_risk_patterns
"Получайте деньги от клиентов на личный счет, затем отправляйте их по указанным реквизитам. Байланыс үшін хабарласыңыз.",ru,1,1-3,synthetic_from_official_risk_patterns
"Удаленно. SMM менеджердің міндеті: контент жоспарлау, жариялау және нәтижені талдау.",kk,0,0-28,synthetic_from_official_risk_patterns
"Пришлите реквизиты карты, CVV и код подтверждения. Это нужно для подключения зарплатного проекта. Подробности после отклика.",ru,1,1-15,synthetic_from_official_risk_patterns
"Жұмыс ұсынысы. Нужен бариста с обучением. Зарплата фиксированная, адрес и БИН работодателя указаны в объявлении. Подробности после отклика.",ru,0,0-11,synthetic_from_official_risk_patterns
"Ассистент проекта будет вести календарь, готовить документы и протоколы встреч. Подробности после отклика.",ru,0,0-10,synthetic_from_official_risk_patterns
"Жұмыс ұсынысы. CVV мен SMS кодын жіберіңіз, сонда жалақы жүйесіне қосамыз. Пишите в личные сообщения.",kk,1,1-31,synthetic_from_official_risk_patterns
"Срочно. Зарегистрируйте ИП и счет на себя, документы и управление будут у нашего бухгалтера. Подробности после отклика.",ru,1,1-13,synthetic_from_official_risk_patterns
"Тәжірибесіз төлем агенті қажет: ақша сізге түседі, кейін басқа шотқа жібересіз.",kk,1,1-29,synthetic_from_official_risk_patterns
Удаленно. Откройте новый банковский счет на свое имя и передайте логин куратору. Байланыс үшін хабарласыңыз.,ru,1,1-6,synthetic_from_official_risk_patterns
"Срочно. Тәжірибесіз төлем агенті қажет: ақша сізге түседі, кейін басқа шотқа жібересіз. Байланыс үшін хабарласыңыз.",kk,1,1-29,synthetic_from_official_risk_patterns
Удаленно. Жұмыс үшін SMS кодын және банк картасының екі жағының суретін жіберу керек. Подробности после отклика.,kk,1,1-23,synthetic_from_official_risk_patterns
Хабарландыру: Водитель компании работает на служебной машине и получает фиксированную ставку за смену. Байланыс үшін хабарласыңыз.,ru,0,0-18,synthetic_from_official_risk_patterns
"Удаленно. Ищем junior-дизайнера. Нужны портфолио, тестовое задание и собеседование с руководителем. Байланыс үшін хабарласыңыз.",ru,0,0-0,synthetic_from_official_risk_patterns
"Удаленно. Аналитик тағылымдамасы: кестелермен жұмыс, есеп дайындау және ресми келісімшарт. Подробности после отклика.",kk,0,0-24,synthetic_from_official_risk_patterns
"Жұмыс ұсынысы. Для оформления сотрудник предоставляет документы в отдел кадров, банковские пароли не требуются. Байланыс үшін хабарласыңыз.",ru,0,0-16,synthetic_from_official_risk_patterns
"Жұмыс ұсынысы. Нужно прогонять деньги через Kaspi и снимать наличные, происхождение средств обсуждать нельзя. Пишите в личные сообщения.",ru,1,1-9,synthetic_from_official_risk_patterns
"Новая вакансия. Қойма операторы тауарды құжат бойынша қабылдап, жүйеде есеп жүргізеді. Байланыс үшін хабарласыңыз.",kk,0,0-29,synthetic_from_official_risk_patterns
"Хабарландыру: Передайте доступ к интернет-банкингу, мы сами проведем операции и заплатим вечером. Подробности после отклика.",ru,1,1-2,synthetic_from_official_risk_patterns
"Если банк спросит о переводах, скажите, что это личные расчеты. Не упоминайте работодателя. Пишите в личные сообщения.",ru,1,1-17,synthetic_from_official_risk_patterns
Жұмыс үшін SMS кодын және банк картасының екі жағының суретін жіберу керек. Байланыс үшін хабарласыңыз.,kk,1,1-23,synthetic_from_official_risk_patterns
Хабарландыру: После подписания трудового договора зарплата перечисляется работодателем один раз в месяц. Пишите в личные сообщения.,ru,0,0-8,synthetic_from_official_risk_patterns
Нужна ваша карта Kaspi на пару дней. За каждый входящий платеж получите процент.,ru,1,1-1,synthetic_from_official_risk_patterns
"Срочно. Жеке картаңызға ақша қабылдап, оны менеджер көрсеткен шотқа аударыңыз. Әр төлемнен он пайыз аласыз. Пишите в личные сообщения.",kk,1,1-20,synthetic_from_official_risk_patterns
"Компания не просит PIN, CVV, SMS-коды или доступ к личному банковскому приложению.",ru,0,0-7,synthetic_from_official_risk_patterns
Срочно. Водитель компании работает на служебной машине и получает фиксированную ставку за смену.,ru,0,0-18,synthetic_from_official_risk_patterns
"Хабарландыру: Тәжірибесіз төлем агенті қажет: ақша сізге түседі, кейін басқа шотқа жібересіз. Байланыс үшін хабарласыңыз.",kk,1,1-29,synthetic_from_official_risk_patterns
"Работа волонтером на городском мероприятии, без финансовых операций и доступа к банковским данным.",ru,0,0-12,synthetic_from_official_risk_patterns
"Жұмыс ұсынысы. Работа волонтером на городском мероприятии, без финансовых операций и доступа к банковским данным.",ru,0,0-12,synthetic_from_official_risk_patterns
Оплата составляет пять процентов от оборота. Ваша задача принимать и дробить платежи.,ru,1,1-7,synthetic_from_official_risk_patterns
Срочно. Ищем фотографа на один день. Оплата после съемки по договору оказания услуг. Подробности после отклика.,ru,0,0-14,synthetic_from_official_risk_patterns
"Удаленно. Тәжірибесіз төлем агенті қажет: ақша сізге түседі, кейін басқа шотқа жібересіз. Пишите в личные сообщения.",kk,1,1-29,synthetic_from_official_risk_patterns
Срочно. Банк картаңызды жалға береміз деген ұсыныс: күнделікті табыс және ешқандай құжат жоқ. Байланыс үшін хабарласыңыз.,kk,1,1-30,synthetic_from_official_risk_patterns
Удаленно. Оформление не требуется. Главное требование: активная карта и быстрые ответы менеджеру. Подробности после отклика.,ru,1,1-8,synthetic_from_official_risk_patterns
Жұмыс ұсынысы. Аудармашыға қашықтан жұмыс. Төлем келісімшарт бойынша орындалған мәтін үшін жасалады. Подробности после отклика.,kk,0,0-25,synthetic_from_official_risk_patterns
"Срочно. Интернет-банкингке кіру деректерін кураторға жіберіңіз, операцияларды өзіміз жасаймыз. Байланыс үшін хабарласыңыз.",kk,1,1-22,synthetic_from_official_risk_patterns
"Срочно. Ищем платежного агента без опыта: деньги приходят вам, вы переводите дальше и сохраняете комиссию.",ru,1,1-12,synthetic_from_official_risk_patterns
"Ищем курьера для доставки документов. Маршруты выдаются в приложении, наличные принимать не нужно.",ru,0,0-5,synthetic_from_official_risk_patterns
"Жұмыс ұсынысы. Бағдарламашы тағылымдамасы: код жазу, қателерді түзету және командалық тексеру. Подробности после отклика.",kk,0,0-30,synthetic_from_official_risk_patterns
"Новая вакансия. CVV мен SMS кодын жіберіңіз, сонда жалақы жүйесіне қосамыз. Пишите в личные сообщения.",kk,1,1-31,synthetic_from_official_risk_patterns
Новая вакансия. Приведите двух друзей с банковскими картами и получите дополнительный бонус. Байланыс үшін хабарласыңыз.,ru,1,1-16,synthetic_from_official_risk_patterns
"Промоутерге екі сағаттық жұмыс, төлем ауысым аяқталған соң ресми түрде беріледі.",kk,0,0-31,synthetic_from_official_risk_patterns
"Если банк спросит о переводах, скажите, что это личные расчеты. Не упоминайте работодателя.",ru,1,1-17,synthetic_from_official_risk_patterns
"Удаленно. Промоутерге екі сағаттық жұмыс, төлем ауысым аяқталған соң ресми түрде беріледі.",kk,0,0-31,synthetic_from_official_risk_patterns
Удаленно. Нужна ваша карта Kaspi на пару дней. За каждый входящий платеж получите процент. Подробности после отклика.,ru,1,1-1,synthetic_from_official_risk_patterns
"Новая вакансия. Стажировка аналитика: работа с таблицами, подготовка отчетов, договор и наставник со стороны компании. Подробности после отклика.",ru,0,0-4,synthetic_from_official_risk_patterns
"Удаленно. Передайте доступ к интернет-банкингу, мы сами проведем операции и заплатим вечером. Подробности после отклика.",ru,1,1-2,synthetic_from_official_risk_patterns
"Получайте деньги от клиентов на личный счет, затем отправляйте их по указанным реквизитам.",ru,1,1-3,synthetic_from_official_risk_patterns
Хабарландыру: Оформление не требуется. Главное требование: активная карта и быстрые ответы менеджеру. Пишите в личные сообщения.,ru,1,1-8,synthetic_from_official_risk_patterns
Удаленная работа переводчиком. Оплата по договору после сдачи согласованного объема текста.,ru,0,0-6,synthetic_from_official_risk_patterns
"Банк сұраса, аударымдар жеке төлемдер деп айтыңыз және жұмыс туралы айтпаңыз.",kk,1,1-28,synthetic_from_official_risk_patterns
"Удаленно. Снимайте поступившие деньги в банкомате и отдавайте человеку, которого назовет куратор. Подробности после отклика.",ru,1,1-10,synthetic_from_official_risk_patterns
"Хабарландыру: Снимайте поступившие деньги в банкомате и отдавайте человеку, которого назовет куратор. Пишите в личные сообщения.",ru,1,1-10,synthetic_from_official_risk_patterns
Срочно. Математика мұғалімі қажет. Міндеті: сабақ өткізу және үй тапсырмасын тексеру. Байланыс үшін хабарласыңыз.,kk,0,0-23,synthetic_from_official_risk_patterns
Жұмыс ұсынысы. Еңбек шартына қол қойылғаннан кейін жалақы айына бір рет төленеді.,kk,0,0-27,synthetic_from_official_risk_patterns
Срочно. Работа курьером: забираете наличные по адресам и вносите их на чужие карты.,ru,1,1-4,synthetic_from_official_risk_patterns
"Новая вакансия. Аналитик тағылымдамасы: кестелермен жұмыс, есеп дайындау және ресми келісімшарт.",kk,0,0-24,synthetic_from_official_risk_patterns
"Ассистент проекта будет вести календарь, готовить документы и протоколы встреч.",ru,0,0-10,synthetic_from_official_risk_patterns
"Новая вакансия. Проводите переводы в интересах третьих лиц за вознаграждение, работа полностью удаленная. Пишите в личные сообщения.",ru,1,1-14,synthetic_from_official_risk_patterns
Удаленно. Оплата составляет пять процентов от оборота. Ваша задача принимать и дробить платежи.,ru,1,1-7,synthetic_from_official_risk_patterns
"Вакансия оператора поддержки: отвечать клиентам в CRM, обучение проходит в офисе компании.",ru,0,0-2,synthetic_from_official_risk_patterns
"Удаленно. Вакансия SMM-менеджера: контент-план, публикации и аналитика. Отбор по портфолио. Пишите в личные сообщения.",ru,0,0-9,synthetic_from_official_risk_patterns
"Удаленно. Вакансия оператора поддержки: отвечать клиентам в CRM, обучение проходит в офисе компании. Байланыс үшін хабарласыңыз.",ru,0,0-2,synthetic_from_official_risk_patterns
"Новая вакансия. Работа волонтером на городском мероприятии, без финансовых операций и доступа к банковским данным.",ru,0,0-12,synthetic_from_official_risk_patterns
Хабарландыру: Стажер-разработчик будет исправлять ошибки в приложении и участвовать в код-ревью. Пишите в личные сообщения.,ru,0,0-17,synthetic_from_official_risk_patterns
"Удаленно. Зарегистрируйте ИП и счет на себя, документы и управление будут у нашего бухгалтера. Подробности после отклика.",ru,1,1-13,synthetic_from_official_risk_patterns
"Подтвердите вход в приложение кодом из SMS, после этого начнется оплачиваемая стажировка.",ru,1,1-18,synthetic_from_official_risk_patterns
Жұмыс ұсынысы. Откройте новый банковский счет на свое имя и передайте логин куратору.,ru,1,1-6,synthetic_from_official_risk_patterns
"Жеке картаңызға ақша қабылдап, оны менеджер көрсеткен шотқа аударыңыз. Әр төлемнен он пайыз аласыз.",kk,1,1-20,synthetic_from_official_risk_patterns
"Срочно. Работа волонтером на городском мероприятии, без финансовых операций и доступа к банковским данным. Байланыс үшін хабарласыңыз.",ru,0,0-12,synthetic_from_official_risk_patterns
Хабарландыру: Откройте новый банковский счет на свое имя и передайте логин куратору. Пишите в личные сообщения.,ru,1,1-6,synthetic_from_official_risk_patterns
"Жұмыс ұсынысы. Ресми келісімшарт қажет емес, тек белсенді картаңыз болса жеткілікті.",kk,1,1-26,synthetic_from_official_risk_patterns
Оплата составляет пять процентов от оборота. Ваша задача принимать и дробить платежи. Подробности после отклика.,ru,1,1-7,synthetic_from_official_risk_patterns
"Удаленно. Ресми келісімшарт қажет емес, тек белсенді картаңыз болса жеткілікті.",kk,1,1-26,synthetic_from_official_risk_patterns
Жұмыс ұсынысы. Менеджер по продажам консультирует клиентов и оформляет заказы только через корпоративную кассу.,ru,0,0-15,synthetic_from_official_risk_patterns
"Жұмыс ұсынысы. Пришлите реквизиты карты, CVV и код подтверждения. Это нужно для подключения зарплатного проекта. Байланыс үшін хабарласыңыз.",ru,1,1-15,synthetic_from_official_risk_patterns
"Зарегистрируйте ИП и счет на себя, документы и управление будут у нашего бухгалтера.",ru,1,1-13,synthetic_from_official_risk_patterns
"Ресми келісімшарт қажет емес, тек белсенді картаңыз болса жеткілікті.",kk,1,1-26,synthetic_from_official_risk_patterns
Математика мұғалімі қажет. Міндеті: сабақ өткізу және үй тапсырмасын тексеру.,kk,0,0-23,synthetic_from_official_risk_patterns
Жұмыс ұсынысы. Приведите двух друзей с банковскими картами и получите дополнительный бонус. Пишите в личные сообщения.,ru,1,1-16,synthetic_from_official_risk_patterns
